,Player_Stats (Tm),Player_Stats (SB),Player_Stats (Key),Player_Stats (Player),Player_Stats (No.),Player_Stats (Age),Player_Stats (Pos),Player_Stats (College/Univ),Player_Stats (Univ_State),Player_Stats (BirthDate),Player_Stats (Yrs),Player_Stats (Super_bowl),Player_Stats (Team),Player_Stats (Pts),Player_Stats (MVP),Player_Stats (Stadium),Player_Stats (City),Player_Stats (State),Player_Stats (Date),Player_Stats (W/L),O_Passing (Cmp),O_Passing (Att),O_Passing (Yds),O_Passing (TD),O_Passing (Int),O_Passing (Sk),O_Passing (Yds.1),O_Passing (Lng),O_Passing (Rate),O_Rushing (Att),O_Rushing (Yds),O_Rushing (TD),O_Rushing (Lng),O_Receiving (Rec),O_Receiving (Yds),O_Receiving (TD),O_Receiving (Lng),O_Fumbles (Fmb),O_Fumbles (FL),D_Interceptions (Int),D_Interceptions (Yds),D_Interceptions (TD),D_Interceptions (Lng),D_Sacks (Sk),D_Tackles (Comb),D_Tackles (Solo),D_Tackles (Ast),D_Fumbles (FR),D_Fumbles (Yds),D_Fumbles (TD),D_Fumbles (FF),SPT_Kick_Returns (Rt),SPT_Kick_Returns (Yds),SPT_Kick_Returns (Y/Rt),SPT_Kick_Returns (TD),SPT_Kick_Returns (Lng),SPT_Punt_Returns (Ret),SPT_Punt_Returns (Yds),SPT_Punt_Returns (Y/R),SPT_Punt_Returns (TD),SPT_Punt_Returns (Lng),SPT_Scoring (XPM),SPT_Scoring (XPA),SPT_Scoring (FGM),SPT_Scoring (FGA),SPT_Punting (Pnt),SPT_Punting (Yds),SPT_Punting (Y/P),SPT_Punting (Lng),Unique_Key,Univ_Alum_per_Team,Univ_Alum_per_SB,Univ_Total_Rings,Univ_Total_Wins,Univ_Total_MVPs,State_Alum_per_Team,State_Alum_per_SB,State_Total_Rings,State_Total_Wins,State_Total_MVPs
10,SFO,47,SFO47,Alex Smith,11,28,QB,Utah,UT,5/7/1984,7,XLVII,San Francisco 49ers,31,Joe Flacco,Mercedes-Benz Superdome,New Orleans,Louisiana,2/3/2013,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO47Alex Smith,1.0,4.0,22.0,17.0,0.0,1.0,5.0,77.0,43.0,3.0
11,CHI,20,CHI20,Jim McMahon,9,26,QB,BYU,UT,8/21/1959,3,XX,Chicago Bears,46,Richard Dent,Louisiana Superdome,New Orleans,Louisiana,1/26/1986,1,12,20,256,0,0,1,3,60,104.2,5,14,2,7,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,CHI20Jim McMahon,1.0,2.0,40.0,31.0,3.0,1.0,2.0,77.0,43.0,3.0
12,NWE,20,NWE20,Trevor Matich,64,24,C,BYU,UT,10/9/1961,0,XX,New England Patriots,10,Richard Dent,Louisiana Superdome,New Orleans,Louisiana,1/26/1986,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,NWE20Trevor Matich,1.0,2.0,40.0,31.0,3.0,1.0,2.0,77.0,43.0,3.0
13,CHI,41,CHI41,Gabe Reid,82,29,TE,BYU,UT,5/28/1977,3,XLI,Chicago Bears,17,Peyton Manning,Dolphin Stadium,Miami Gardens,Florida,2/4/2007,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,CHI41Gabe Reid,2.0,3.0,40.0,31.0,3.0,2.0,3.0,77.0,43.0,3.0
14,CHI,41,CHI41,John Tait,76,31,LT,BYU,UT,1/26/1975,7,XLI,Chicago Bears,17,Peyton Manning,Dolphin Stadium,Miami Gardens,Florida,2/4/2007,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,CHI41John Tait,2.0,3.0,40.0,31.0,3.0,2.0,3.0,77.0,43.0,3.0
15,IND,41,IND41,Rob Morris,94,31,LLB,BYU,UT,1/18/1975,6,XLI,Indianapolis Colts,29,Peyton Manning,Dolphin Stadium,Miami Gardens,Florida,2/4/2007,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,IND41Rob Morris,1.0,3.0,40.0,31.0,3.0,1.0,3.0,77.0,43.0,3.0
16,CIN,16,CIN16,Brad Oates,76,28,G,BYU,UT,9/30/1953,5,XVI,Cincinnati Bengals,21,Joe Montana,Pontiac Silverdome,Pontiac,Michigan,1/24/1982,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,CIN16Brad Oates,1.0,2.0,40.0,31.0,3.0,1.0,2.0,77.0,43.0,3.0
17,SFO,16,SFO16,Bill Ring,30,25,RB,BYU,UT,12/13/1956,0,XVI,San Francisco 49ers,26,Joe Montana,Pontiac Silverdome,Pontiac,Michigan,1/24/1982,1,0,0,0,0,0,0,0,0,0.0,5,17,0,7,1,3,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO16Bill Ring,1.0,2.0,40.0,31.0,3.0,1.0,2.0,77.0,43.0,3.0
18,CIN,23,CIN23,Jason Buck,99,25,DE,BYU,UT,7/27/1963,1,XXIII,Cincinnati Bengals,16,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,1/22/1989,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,CIN23Jason Buck,3.0,5.0,40.0,31.0,3.0,3.0,7.0,77.0,43.0,3.0
19,CIN,23,CIN23,Lee Johnson,11,27,P,BYU,UT,11/27/1961,3,XXIII,Cincinnati Bengals,16,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,1/22/1989,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,221,44.2,63,CIN23Lee Johnson,3.0,5.0,40.0,31.0,3.0,3.0,7.0,77.0,43.0,3.0
20,CIN,23,CIN23,Leon White,51,25,LOLB,BYU,UT,10/4/1963,2,XXIII,Cincinnati Bengals,16,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,1/22/1989,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,CIN23Leon White,3.0,5.0,40.0,31.0,3.0,3.0,7.0,77.0,43.0,3.0
21,SFO,23,SFO23,Steve Young,8,27,QB,BYU,UT,10/11/1961,3,XXIII,San Francisco 49ers,20,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,1/22/1989,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO23Steve Young,2.0,5.0,40.0,31.0,3.0,4.0,7.0,77.0,43.0,3.0
22,SFO,23,SFO23,Tom Holmoe,46,28,DB,BYU,UT,3/7/1960,5,XXIII,San Francisco 49ers,20,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,1/22/1989,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO23Tom Holmoe,2.0,5.0,40.0,31.0,3.0,4.0,7.0,77.0,43.0,3.0
23,SFO,23,SFO23,Del Rodgers,35,28,RB,Utah,UT,6/22/1960,6,XXIII,San Francisco 49ers,20,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,1/22/1989,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,53,17.7,0,22,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO23Del Rodgers,1.0,1.0,22.0,17.0,0.0,4.0,7.0,77.0,43.0,3.0
24,SFO,23,SFO23,Darryl Pollard,26,24,DB,Weber St.,UT,5/11/1964,1,XXIII,San Francisco 49ers,20,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,1/22/1989,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,SFO23Darryl Pollard,1.0,1.0,6.0,7.0,0.0,4.0,7.0,77.0,43.0,3.0
25,DAL,10,DAL10,Golden Richards,83,25,WR,BYU,UT,12/31/1950,2,X,Dallas Cowboys,17,Lynn Swann,Orange Bowl,Miami,Florida,1/18/1976,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,5,5.0,0,5,0,0,0,0,0,0,0.0,0,DAL10Golden Richards,1.0,2.0,40.0,31.0,3.0,1.0,2.0,77.0,43.0,3.0
26,PIT,10,PIT10,Gordon Gravelle,71,26,RT,BYU,UT,6/12/1949,3,X,Pittsburgh Steelers,21,Lynn Swann,Orange Bowl,Miami,Florida,1/18/1976,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,PIT10Gordon Gravelle,1.0,2.0,40.0,31.0,3.0,1.0,2.0,77.0,43.0,3.0
27,DAL,12,DAL12,Golden Richards,83,27,WR,BYU,UT,12/31/1950,4,XII,Dallas Cowboys,27,Harvey MartinRandy White,Superdome,New Orleans,Louisiana,1/15/1978,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,38,1,29,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,DAL12Golden Richards,1.0,2.0,40.0,31.0,3.0,1.0,3.0,77.0,43.0,3.0
28,DEN,12,DEN12,Paul Howard,60,27,RG,BYU,UT,9/12/1950,4,XII,Denver Broncos,10,Harvey MartinRandy White,Superdome,New Orleans,Louisiana,1/15/1978,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,DEN12Paul Howard,1.0,2.0,40.0,31.0,3.0,2.0,3.0,77.0,43.0,3.0
29,DEN,12,DEN12,Jim Turner,15,36,K,Utah St.,UT,3/28/1941,13,XII,Denver Broncos,10,Harvey MartinRandy White,Superdome,New Orleans,Louisiana,1/15/1978,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,1,1,1,0,0,0.0,0,DEN12Jim Turner,1.0,1.0,9.0,9.0,0.0,2.0,3.0,77.0,43.0,3.0
30,DAL,13,DAL13,Golden Richards,83,28,WR,BYU,UT,12/31/1950,5,XIII,Dallas Cowboys,31,Terry Bradshaw,Orange Bowl,Miami,Florida,1/21/1979,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,DAL13Golden Richards,1.0,1.0,40.0,31.0,3.0,1.0,1.0,77.0,43.0,3.0
31,DEN,21,DEN21,Paul Howard,60,36,RG,BYU,UT,9/12/1950,13,XXI,Denver Broncos,20,Phil Simms,Rose Bowl,Pasadena,California,1/25/1987,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,DEN21Paul Howard,1.0,2.0,40.0,31.0,3.0,3.0,5.0,77.0,43.0,3.0
32,DEN,21,DEN21,Greg Kragen,71,24,NT,Utah St.,UT,3/4/1962,1,XXI,Denver Broncos,20,Phil Simms,Rose Bowl,Pasadena,California,1/25/1987,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,DEN21Greg Kragen,2.0,3.0,9.0,9.0,0.0,3.0,5.0,77.0,43.0,3.0
33,DEN,21,DEN21,Rulon Jones,75,28,RDE,Utah St.,UT,3/25/1958,6,XXI,Denver Broncos,20,Phil Simms,Rose Bowl,Pasadena,California,1/25/1987,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,DEN21Rulon Jones,2.0,3.0,9.0,9.0,0.0,3.0,5.0,77.0,43.0,3.0
34,NYG,21,NYG21,Bart Oates,65,28,C,BYU,UT,12/16/1958,1,XXI,New York Giants,39,Phil Simms,Rose Bowl,Pasadena,California,1/25/1987,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,NYG21Bart Oates,1.0,2.0,40.0,31.0,3.0,2.0,5.0,77.0,43.0,3.0
35,NYG,21,NYG21,Solomon Miller,87,22,WR,Utah St.,UT,12/6/1964,0,XXI,New York Giants,39,Phil Simms,Rose Bowl,Pasadena,California,1/25/1987,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,NYG21Solomon Miller,1.0,3.0,9.0,9.0,0.0,2.0,5.0,77.0,43.0,3.0
36,GNB,31,GNB31,Jim McMahon,9,37,QB,BYU,UT,8/21/1959,14,XXXI,Green Bay Packers,35,Desmond Howard,Louisiana Superdome,New Orleans,Louisiana,1/26/1997,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,GNB31Jim McMahon,1.0,1.0,40.0,31.0,3.0,1.0,1.0,77.0,43.0,3.0
37,GNB,45,GNB45,Brady Poppinga,51,31,LB,BYU,UT,9/21/1979,5,XLV,Green Bay Packers,31,Aaron Rodgers,Cowboys Stadium,Arlington,Texas,2/6/2011,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,GNB45Brady Poppinga,1.0,3.0,40.0,31.0,3.0,2.0,6.0,77.0,43.0,3.0
38,GNB,45,GNB45,Jarrett Bush,24,26,DB,Utah St.,UT,5/21/1984,4,XLV,Green Bay Packers,31,Aaron Rodgers,Cowboys Stadium,Arlington,Texas,2/6/2011,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.0,5,4,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,GNB45Jarrett Bush,1.0,1.0,9.0,9.0,0.0,2.0,6.0,77.0,43.0,3.0
39,PIT,45,PIT45,Brett Keisel,99,32,RDE,BYU,UT,9/19/1978,8,XLV,Pittsburgh Steelers,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas,2/6/2011,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,PIT45Brett Keisel,2.0,3.0,40.0,31.0,3.0,4.0,6.0,77.0,43.0,3.0
40,PIT,45,PIT45,Chris Hoke,76,34,NT,BYU,UT,4/6/1976,6,XLV,Pittsburgh Steelers,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas,2/6/2011,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,PIT45Chris Hoke,2.0,3.0,40.0,31.0,3.0,4.0,6.0,77.0,43.0,3.0
41,PIT,45,PIT45,Chris Kemoeatu,68,27,LG,Utah,UT,1/4/1983,4,XLV,Pittsburgh Steelers,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas,2/6/2011,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,PIT45Chris Kemoeatu,2.0,2.0,22.0,17.0,0.0,4.0,6.0,77.0,43.0,3.0
42,PIT,45,PIT45,Stevenson Sylvester,55,22,LB,Utah,UT,7/18/1988,0,XLV,Pittsburgh Steelers,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas,2/6/2011,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,PIT45Stevenson Sylvester,2.0,2.0,22.0,17.0,0.0,4.0,6.0,77.0,43.0,3.0
43,IND,44,IND44,Aaron Francisco,43,26,DB,BYU,UT,7/5/1983,4,XLIV,Indianapolis Colts,17,Drew Brees,Sun Life Stadium,Miami Gardens,Florida,2/7/2010,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,IND44Aaron Francisco,2.0,2.0,40.0,31.0,3.0,3.0,4.0,77.0,43.0,3.0
44,IND,44,IND44,Austin Collie,17,24,WR,BYU,UT,11/11/1985,0,XLIV,Indianapolis Colts,17,Drew Brees,Sun Life Stadium,Miami Gardens,Florida,2/7/2010,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,66,0,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,IND44Austin Collie,2.0,2.0,40.0,31.0,3.0,3.0,4.0,77.0,43.0,3.0
45,IND,44,IND44,De'von Hall,45,22,DB,Utah St.,UT,9/8/1987,0,XLIV,Indianapolis Colts,17,Drew Brees,Sun Life Stadium,Miami Gardens,Florida,2/7/2010,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,IND44De'von Hall,1.0,1.0,9.0,9.0,0.0,3.0,4.0,77.0,43.0,3.0
